dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,6,140,8.693467336683417
96,6,140,12.06030150753769
128,6,140,14.753768844221106
160,6,140,17.447236180904525
192,6,140,20.14070351758794
224,6,140,22.834170854271356
256,6,140,25.527638190954775
288,6,140,28.22110552763819
320,6,140,30.91457286432161
352,6,140,32.934673366834176
384,6,140,35.62814070351759
416,6,140,37.64824120603015
448,6,140,40.34170854271357
480,6,140,42.36180904522613
512,6,140,45.05527638190955
544,6,140,47.07537688442211
576,6,140,49.76884422110553
608,6,140,51.788944723618094
640,6,140,53.80904522613066
672,6,140,55.82914572864322
704,6,140,58.52261306532664
736,6,140,60.5427135678392
768,6,140,62.56281407035176
800,6,140,64.58291457286433
832,6,140,67.27638190954775
864,6,140,69.2964824120603
896,6,140,71.31658291457286
928,6,140,73.33668341708542
960,6,140,75.35678391959799
992,6,140,77.37688442211055
1024,6,140,80.07035175879398
1056,6,140,82.09045226130654
1088,6,140,84.1105527638191
1120,6,140,86.13065326633166
1152,6,140,88.15075376884423
1184,6,140,90.17085427135679
1216,6,140,92.19095477386935
1248,6,140,94.21105527638191
1280,6,140,96.23115577889448
1312,6,140,98.25125628140704
1344,6,140,100.2713567839196
1376,6,140,102.29145728643216
1408,6,140,104.31155778894473
1440,6,140,106.33165829145729
1472,6,140,108.35175879396985
1504,6,140,110.37185929648241
1536,6,140,112.39195979899498
1568,6,140,114.41206030150754
1600,6,140,116.4321608040201
1632,6,140,118.45226130653266
1664,6,140,120.47236180904522
1696,6,140,122.49246231155779
1728,6,140,124.51256281407035
1760,6,140,125.85929648241206
